trial_number,val_accuracy,state,duration_seconds,lr,batch_size,fc_hidden1,fc_hidden2,fc_hidden3,dropout_rate,optimizer
9,0.9673202614379085,COMPLETE,54.024678,0.0016623781249630258,4,512,256,128,0.24064927570691533,Adam
2,0.9673202614379085,COMPLETE,54.587536,0.0016090829719801736,4,512,256,128,0.19819771880335438,Adam
14,0.9673202614379085,COMPLETE,55.39784,0.0010326162402161583,4,512,256,128,0.2172609006114819,Adam
31,0.9673202614379085,COMPLETE,57.764627,0.0013752431393987622,4,512,256,128,0.22652984885998048,Adam
28,0.9673202614379085,COMPLETE,57.850347,0.0028568231130919205,4,512,256,128,0.19104694555582835,Adam
23,0.9673202614379085,COMPLETE,55.234899,0.0012293800164814806,4,512,256,128,0.22857479397500338,Adam
24,0.9607843137254902,COMPLETE,55.060538,0.0021577599200970628,4,512,256,128,0.1964240812867788,Adam
1,0.9607843137254902,COMPLETE,54.466504,0.0073922186469834285,4,512,256,128,0.15497484895637012,Adam
11,0.9607843137254902,COMPLETE,55.189832,0.002367044166381383,4,512,256,128,0.20471403554650874,Adam
43,0.9607843137254902,COMPLETE,55.549556,0.0046600984480603975,4,512,256,128,0.2008466767841993,Adam
38,0.9607843137254902,COMPLETE,57.531329,0.0011476499112362622,4,512,256,128,0.23448179440418254,Adam
49,0.9607843137254902,COMPLETE,55.404998,0.0012688670271588838,4,512,256,128,0.2444614619231721,Adam
45,0.9607843137254902,COMPLETE,54.75239,0.0010569286092257134,4,512,256,128,0.23645695036415257,Adam
12,0.954248366013072,COMPLETE,54.616171,0.0016688704557803356,4,512,256,128,0.20503325960646288,Adam
17,0.954248366013072,COMPLETE,54.805135,0.0028213611621582626,4,512,256,128,0.21797040357140146,Adam
37,0.954248366013072,COMPLETE,56.289883,0.0014376737541604244,4,512,256,128,0.2050037680201634,Adam
33,0.954248366013072,COMPLETE,57.242383,0.0015160555782862716,4,512,256,128,0.22285135226987005,Adam
18,0.954248366013072,COMPLETE,55.579418,0.001320466026844072,4,512,256,128,0.21894467141275065,Adam
44,0.954248366013072,COMPLETE,55.826627,0.002833528157774996,4,512,256,128,0.1786888740303258,Adam
26,0.9477124183006536,COMPLETE,56.17392,0.0010840529020726256,4,512,256,128,0.20984589423159308,Adam
5,0.9477124183006536,COMPLETE,58.381298,0.004527472708109655,4,512,256,128,0.24589698270621085,Adam
3,0.9477124183006536,COMPLETE,55.587595,0.0022671684011315754,4,512,256,128,0.23378438339146781,Adam
20,0.9477124183006536,COMPLETE,54.939224,0.0012993048982283565,4,512,256,128,0.19725737691828077,Adam
41,0.9477124183006536,PRUNED,46.803348,0.0013739379866164378,4,512,256,128,0.19288168295182517,Adam
42,0.9411764705882353,COMPLETE,55.785196,0.002468282006240752,4,512,256,128,0.18710851572799475,Adam
8,0.9411764705882353,COMPLETE,55.065254,0.006555971569863297,4,512,256,128,0.23963332070249727,Adam
15,0.9411764705882353,COMPLETE,55.214929,0.0018841503571337638,4,512,256,128,0.18431930186363196,Adam
19,0.9411764705882353,PRUNED,43.638271,0.0033204274173323813,4,512,256,128,0.17213907875883977,Adam
22,0.9411764705882353,COMPLETE,55.697444,0.0017796246305418746,4,512,256,128,0.21157873843957414,Adam
29,0.9411764705882353,COMPLETE,57.218408,0.0015610140448845404,4,512,256,128,0.21441684548537734,Adam
21,0.9411764705882353,PRUNED,44.783765,0.0010189837300256202,4,512,256,128,0.21882011726564593,Adam
36,0.9411764705882353,COMPLETE,55.5723,0.002063200984494032,4,512,256,128,0.23849780261549075,Adam
10,0.9411764705882353,COMPLETE,54.581261,0.0010097179983368835,4,512,256,128,0.19003338648704163,Adam
30,0.9411764705882353,COMPLETE,57.758301,0.0011856457687931716,4,512,256,128,0.17355080827811456,Adam
35,0.934640522875817,PRUNED,44.576069,0.002378679964952287,4,512,256,128,0.24415125424356923,Adam
39,0.934640522875817,COMPLETE,57.56363,0.004405401476882887,4,512,256,128,0.24732578284313197,Adam
27,0.934640522875817,COMPLETE,58.092391,0.0019498865076129114,4,512,256,128,0.22494681946111678,Adam
48,0.934640522875817,PRUNED,59.779489,0.002811078482713915,4,512,256,128,0.15971062032708497,Adam
7,0.934640522875817,PRUNED,45.416389,0.006457057241420978,4,512,256,128,0.239099027418864,Adam
47,0.9281045751633987,COMPLETE,59.749362,0.0036679485970258553,4,512,256,128,0.20092838893006343,Adam
40,0.9281045751633987,PRUNED,46.087311,0.0016669720744217642,4,512,256,128,0.2276258389728507,Adam
34,0.9281045751633987,COMPLETE,55.053163,0.0011921108727717125,4,512,256,128,0.23212630605492462,Adam
46,0.9215686274509803,COMPLETE,56.829939,0.0017925436783868868,4,512,256,128,0.20757353762664332,Adam
16,0.8954248366013072,PRUNED,44.509097,0.009875517683154436,4,512,256,128,0.16473788922264876,Adam
32,0.8954248366013072,COMPLETE,57.318563,0.0012225921575577464,4,512,256,128,0.23182278258166086,Adam
0,0.8758169934640523,COMPLETE,48.567989,0.0014453363307990706,4,512,256,128,0.2396759262456736,Adam
6,0.8758169934640523,PRUNED,47.633333,0.005518546128242847,4,512,256,128,0.2292776442755004,Adam
4,0.869281045751634,COMPLETE,55.938921,0.006108086638691169,4,512,256,128,0.2400329238559322,Adam
13,0.8627450980392157,COMPLETE,56.351046,0.003545329773213594,4,512,256,128,0.1836526833820032,Adam
25,0.8627450980392157,COMPLETE,54.923834,0.0015524375353161049,4,512,256,128,0.24964995177482985,Adam
